Size;Support;Item1;Item2
2;0,152;count(ingredients)_oliv oil;count(ingredients)_grate parmesan chees
2;0,152;count(ingredients)_oliv oil;count(ingredients)_parmesan chees
2;0,121;count(ingredients)_oliv oil;count(ingredients)_pepper
2;0,121;count(ingredients)_oliv oil;count(ingredients)_italian season
2;0,121;count(ingredients)_garlic;count(ingredients)_pasta
2;0,121;count(ingredients)_garlic;count(ingredients)_extra virgin oliv oil
2;0,121;count(ingredients)_garlic;count(ingredients)_grate parmesan chees
2;0,152;count(ingredients)_garlic;count(ingredients)_italian parslei
2;0,121;count(ingredients)_garlic;count(ingredients)_kosher salt
2;0,152;count(ingredients)_salt;count(ingredients)_pepper
